index;periode;session_start_time;session_end_time;consumption_kw;charging_start_time;charging_end_time;session_duration;charging_duration;max_power_kW
22;Challenge;2024-03-27 07:03:00;2024-03-27 16:18:00;23,937;2024-03-27 11:01:00;2024-03-27 14:41:00;556;221;7,2
23;Challenge;2024-03-27 08:44:00;2024-03-27 14:19:00;42,207;2024-03-27 08:44:00;2024-03-27 14:19:00;335;335;7,7
24;Challenge;2024-03-26 23:33:00;2024-03-27 08:41:00;10,087;2024-03-26 23:33:00;2024-03-27 03:25:00;548;233;3,5
25;Challenge;2024-03-26 09:29:00;2024-03-26 22:01:00;13,475;2024-03-26 09:29:00;2024-03-26 16:45:00;753;436;3,5
26;Challenge;2024-03-26 12:50:00;2024-03-26 18:01:00;25,429;2024-03-26 12:50:00;2024-03-26 16:35:00;311;225;7,2
27;Challenge;2024-03-26 12:07:00;2024-03-26 17:14:00;30,967;2024-03-26 12:07:00;2024-03-26 17:14:00;307;307;6,6
28;Ecowatt;2024-03-25 20:35:00;2024-03-26 16:57:00;43,77;2024-03-25 20:35:00;2024-03-26 03:19:00;1223;405;7,3
29;Challenge;2024-03-26 07:12:00;2024-03-26 16:34:00;16,987;2024-03-26 07:12:00;2024-03-26 16:34:00;563;563;7,2
30;Challenge;2024-03-26 12:43:00;2024-03-26 16:15:00;4,464;2024-03-26 12:43:00;2024-03-26 15:44:00;212;181;1,6
31;Ecowatt;2024-03-25 10:33:00;2024-03-25 17:39:00;49,892;2024-03-25 10:58:00;2024-03-25 17:39:00;426;401;7,5
32;Challenge;2024-03-24 20:57:00;2024-03-25 07:31:00;39,476;2024-03-24 22:00:00;2024-03-25 03:35:00;634;336;7,3
33;Challenge;2024-03-24 12:11:00;2024-03-24 19:46:00;17,175;2024-03-24 12:11:00;2024-03-24 18:09:00;455;359;3,6
34;Challenge;2024-03-22 07:49:00;2024-03-22 22:06:00;32,051;2024-03-22 11:00:00;2024-03-22 15:52:00;857;292;7,3
35;Challenge;2024-03-22 12:06:00;2024-03-22 18:28:00;17,396;2024-03-22 12:06:00;2024-03-22 14:46:00;383;160;7,1
36;Challenge;2024-03-22 07:34:00;2024-03-22 17:43:00;45,677;2024-03-22 07:34:00;2024-03-22 14:02:00;609;388;7,4
37;Challenge;2024-03-22 08:49:00;2024-03-22 17:43:00;51,994;2024-03-22 08:49:00;2024-03-22 16:47:00;535;479;7,1
38;Challenge;2024-03-22 14:02:00;2024-03-22 17:35:00;19,824;2024-03-22 14:02:00;2024-03-22 17:35:00;213;213;6,6
39;Challenge;2024-03-22 11:23:00;2024-03-22 16:29:00;4,949;2024-03-22 11:23:00;2024-03-22 14:43:00;306;201;1,6
40;Challenge;2024-03-22 08:01:00;2024-03-22 16:22:00;24,454;2024-03-22 11:01:00;2024-03-22 14:45:00;502;225;7
41;Challenge;2024-03-22 10:05:00;2024-03-22 16:00:00;42,043;2024-03-22 10:05:00;2024-03-22 16:00:00;356;355;7,6
42;Challenge;2024-03-22 08:45:00;2024-03-22 13:45:00;8,197;2024-03-22 08:56:00;2024-03-22 11:07:00;301;131;6,6
43;Challenge;2024-03-22 08:23:00;2024-03-22 13:39:00;12,741;2024-03-22 08:23:00;2024-03-22 12:22:00;317;239;3,5
44;Challenge;2024-03-21 22:25:00;2024-03-22 00:18:00;6,02;2024-03-21 22:25:00;2024-03-22 00:18:00;114;114;3,5
45;Challenge;2024-03-20 14:22:00;2024-03-20 17:22:00;7,132;2024-03-20 14:22:00;2024-03-20 17:22:00;180;180;2,4
46;Challenge;2024-03-19 14:04:00;2024-03-19 17:12:00;14,821;2024-03-19 14:04:00;2024-03-19 17:12:00;188;188;4,7
47;Challenge;2024-03-18 08:36:00;2024-03-18 19:22:00;36,802;2024-03-18 08:36:00;2024-03-18 19:22:00;647;647;3,4
48;Challenge;2024-03-18 13:31:00;2024-03-18 17:38:00;22,026;2024-03-18 13:31:00;2024-03-18 17:38:00;248;248;5,3
49;Challenge;2024-03-18 12:06:00;2024-03-18 13:06:00;5,052;2024-03-18 12:06:00;2024-03-18 13:06:00;60;60;5,1
50;Challenge;2024-03-15 07:21:00;2024-03-15 18:31:00;32,648;2024-03-15 07:21:00;2024-03-15 18:31:00;670;670;2,9
51;Challenge;2024-03-15 12:07:00;2024-03-15 18:21:00;20,551;2024-03-15 12:07:00;2024-03-15 18:21:00;375;375;3,3
52;Challenge;2024-03-14 21:06:00;2024-03-15 07:58:00;18,132;2024-03-14 21:06:00;2024-03-15 07:58:00;652;652;1,7
53;Challenge;2024-03-14 21:00:00;2024-03-15 07:27:00;37,508;2024-03-14 21:00:00;2024-03-15 07:27:00;627;627;3,6
54;Challenge;2024-03-14 09:52:00;2024-03-14 17:22:00;1,284;2024-03-14 12:58:00;2024-03-14 13:20:00;450;22;3,8
55;Challenge;2024-03-14 09:53:00;2024-03-14 17:22:00;1,284;2024-03-14 09:53:00;2024-03-14 17:22:00;449;449;0,2
56;Challenge;2024-03-14 12:03:00;2024-03-14 16:59:00;6,137;2024-03-14 12:03:00;2024-03-14 16:07:00;296;245;3,4
57;Challenge;2024-03-14 08:48:00;2024-03-14 13:58:00;13,261;2024-03-14 08:48:00;2024-03-14 13:58:00;311;311;5,7
58;Challenge;2024-03-14 08:49:00;2024-03-14 13:58:00;13,261;2024-03-14 08:49:00;2024-03-14 13:58:00;310;310;2,6
59;Challenge;2024-03-14 11:14:00;2024-03-14 13:17:00;2,379;2024-03-14 11:14:00;2024-03-14 13:14:00;123;121;3,5
60;Challenge;2024-03-14 11:14:00;2024-03-14 13:17:00;2,379;2024-03-14 11:14:00;2024-03-14 13:17:00;123;123;1,2
61;Challenge;2024-03-14 08:28:00;2024-03-14 11:08:00;6,244;2024-03-14 08:28:00;2024-03-14 11:07:00;160;160;3,6
62;Challenge;2024-03-13 11:06:00;2024-03-13 12:51:00;12,762;2024-03-13 11:06:00;2024-03-13 12:51:00;105;105;7,6
63;Challenge;2024-03-13 10:16:00;2024-03-13 12:43:00;18,018;2024-03-13 10:16:00;2024-03-13 12:43:00;147;147;7,4
64;Challenge;2024-03-13 08:58:00;2024-03-13 12:08:00;11,828;2024-03-13 08:58:00;2024-03-13 10:39:00;190;101;7,6
65;Ecowatt;2024-03-12 22:13:00;2024-03-13 08:38:00;14,011;2024-03-12 22:13:00;2024-03-13 03:10:00;626;298;3,5
66;Ecowatt;2024-03-12 18:18:00;2024-03-12 21:57:00;12,28;2024-03-12 18:18:00;2024-03-12 21:57:00;219;219;3,6
67;Ecowatt;2024-03-12 07:31:00;2024-03-12 17:22:00;35,255;2024-03-12 07:31:00;2024-03-12 16:28:00;592;538;7,5
68;Challenge;2024-03-11 07:52:00;2024-03-11 19:40:00;29,559;2024-03-11 10:59:00;2024-03-11 19:40:00;709;522;7,2
69;Challenge;2024-03-11 09:34:00;2024-03-11 17:36:00;30,73;2024-03-11 11:09:00;2024-03-11 16:34:00;483;325;6,6
70;Challenge;2024-03-11 11:25:00;2024-03-11 17:21:00;2,857;2024-03-11 11:25:00;2024-03-11 13:20:00;356;116;1,6
71;Challenge;2024-03-11 12:04:00;2024-03-11 13:07:00;7,475;2024-03-11 12:04:00;2024-03-11 13:07:00;63;63;7,2
72;Challenge;2024-03-11 08:38:00;2024-03-11 12:46:00;12,452;2024-03-11 08:38:00;2024-03-11 12:30:00;248;232;3,5
73;Challenge;2024-03-11 06:29:00;2024-03-11 11:25:00;14,524;2024-03-11 06:29:00;2024-03-11 09:02:00;297;154;7,2
74;Challenge;2024-03-10 12:46:00;2024-03-10 17:53:00;35,209;2024-03-10 12:46:00;2024-03-10 17:33:00;307;288;7,6
75;Challenge;2024-03-09 19:47:00;2024-03-10 13:26:00;31,909;2024-03-09 22:00:00;2024-03-10 02:32:00;1059;272;7,1
76;Challenge;2024-03-09 13:08:00;2024-03-09 20:06:00;20,702;2024-03-09 13:08:00;2024-03-09 19:56:00;419;409;3,6
77;Ecowatt;2024-03-08 15:14:00;2024-03-08 17:18:00;13,502;2024-03-08 15:14:00;2024-03-08 17:18:00;124;124;6,6
78;Ecowatt;2024-03-08 11:19:00;2024-03-08 17:16:00;4,044;2024-03-08 11:19:00;2024-03-08 13:59:00;357;161;1,6
79;Ecowatt;2024-03-08 10:25:00;2024-03-08 15:41:00;4,166;2024-03-08 10:25:00;2024-03-08 12:10:00;317;106;2,5
80;Challenge;2024-03-07 11:30:00;2024-03-07 19:06:00;5,802;2024-03-07 11:30:00;2024-03-07 13:38:00;456;128;3,6
81;Challenge;2024-03-07 14:01:00;2024-03-07 17:56:00;19,474;2024-03-07 14:01:00;2024-03-07 16:56:00;236;175;7,2
82;Challenge;2024-03-07 12:22:00;2024-03-07 17:56:00;41,028;2024-03-07 12:22:00;2024-03-07 17:56:00;335;335;7,6
83;Challenge;2024-03-07 08:50:00;2024-03-07 17:35:00;49,16;2024-03-07 08:50:00;2024-03-07 16:26:00;525;456;7,2
84;Challenge;2024-03-07 10:53:00;2024-03-07 17:21:00;37,039;2024-03-07 10:53:00;2024-03-07 16:30:00;388;337;9,3
85;Challenge;2024-03-07 13:06:00;2024-03-07 17:15:00;29,255;2024-03-07 13:06:00;2024-03-07 17:15:00;249;249;7,2
86;Challenge;2024-03-07 10:45:00;2024-03-07 15:44:00;34,424;2024-03-07 10:45:00;2024-03-07 15:44:00;300;300;6,9
87;Challenge;2024-03-07 08:38:00;2024-03-07 15:21:00;13,204;2024-03-07 08:38:00;2024-03-07 12:45:00;403;247;3,5
88;Challenge;2024-03-07 08:47:00;2024-03-07 13:17:00;20,112;2024-03-07 08:50:00;2024-03-07 12:38:00;270;229;6,8
89;Challenge;2024-03-06 21:02:00;2024-03-07 06:48:00;20,874;2024-03-06 21:02:00;2024-03-07 04:10:00;586;429;3,5
90;Challenge;2024-03-06 17:45:00;2024-03-07 06:41:00;34,16;2024-03-06 22:00:00;2024-03-07 02:42:00;776;283;7,4
91;Challenge;2024-03-06 07:52:00;2024-03-06 19:33:00;17,432;2024-03-06 10:59:00;2024-03-06 13:44:00;702;166;7,2
92;Challenge;2024-03-05 07:32:00;2024-03-06 17:50:00;45,193;2024-03-05 07:32:00;2024-03-05 14:07:00;2058;395;6,9
93;Challenge;2024-03-06 08:16:00;2024-03-06 17:07:00;24,699;2024-03-06 11:01:00;2024-03-06 14:47:00;532;227;7,2
94;Challenge;2024-03-06 13:41:00;2024-03-06 15:24:00;4,788;2024-03-06 13:41:00;2024-03-06 15:24:00;103;103;3,6
95;Challenge;2024-03-06 08:56:00;2024-03-06 12:02:00;19,319;2024-03-06 08:56:00;2024-03-06 11:37:00;187;162;7,7
96;Challenge;2024-03-05 21:01:00;2024-03-06 07:23:00;43,472;2024-03-05 22:00:00;2024-03-06 04:09:00;622;370;7,3
97;Challenge;2024-03-05 11:41:00;2024-03-05 19:49:00;8,32;2024-03-05 11:41:00;2024-03-05 14:27:00;488;166;3,4
98;Challenge;2024-03-05 08:52:00;2024-03-05 18:15:00;18,113;2024-03-05 11:01:00;2024-03-05 13:47:00;564;166;7,3
99;Challenge;2024-03-05 08:14:00;2024-03-05 17:35:00;37,42;2024-03-05 08:14:00;2024-03-05 16:46:00;561;513;7,3
100;Challenge;2024-03-05 11:16:00;2024-03-05 17:09:00;3,975;2024-03-05 11:16:00;2024-03-05 13:56:00;354;161;1,6
101;Challenge;2024-03-05 08:50:00;2024-03-05 17:03:00;13,29;2024-03-05 08:50:00;2024-03-05 16:05:00;493;435;3,5
102;Challenge;2024-03-05 11:29:00;2024-03-05 15:31:00;13,553;2024-03-05 11:29:00;2024-03-05 15:26:00;242;238;3,6
103;Challenge;2024-03-04 07:54:00;2024-03-04 19:54:00;30,307;2024-03-04 10:59:00;2024-03-04 19:54:00;720;535;7,2
104;Challenge;2024-03-04 11:35:00;2024-03-04 19:45:00;36,07;2024-03-04 11:36:00;2024-03-04 17:11:00;490;336;7
105;Challenge;2024-03-04 09:32:00;2024-03-04 16:22:00;33,595;2024-03-04 10:46:00;2024-03-04 15:34:00;410;289;7,6
106;Challenge;2024-03-04 14:34:00;2024-03-04 15:05:00;1,777;2024-03-04 14:34:00;2024-03-04 15:05:00;32;32;3,4
107;Challenge;2024-03-04 09:24:00;2024-03-04 13:49:00;32,678;2024-03-04 09:24:00;2024-03-04 13:49:00;266;266;7,6
108;Challenge;2024-03-04 12:06:00;2024-03-04 13:10:00;7,397;2024-03-04 12:06:00;2024-03-04 13:10:00;64;64;7,1
109;Challenge;2024-03-04 06:39:00;2024-03-04 11:29:00;14,808;2024-03-04 06:39:00;2024-03-04 09:14:00;290;156;7,2
110;Challenge;2024-03-02 15:35:00;2024-03-03 14:52:00;0,097;2024-03-02 15:35:00;2024-03-03 14:52:00;1397;1397;0
111;Challenge;2024-03-03 08:57:00;2024-03-03 12:08:00;9,743;2024-03-03 08:57:00;2024-03-03 12:08:00;192;192;3,5
112;Challenge;2024-03-02 18:11:00;2024-03-03 09:29:00;43,152;2024-03-02 22:01:00;2024-03-03 04:07:00;919;367;7,3
113;Challenge;2024-03-02 17:08:00;2024-03-03 08:14:00;5,091;2024-03-02 17:08:00;2024-03-02 19:17:00;906;129;2,5
114;Challenge;2024-03-01 10:24:00;2024-03-01 19:33:00;6,407;2024-03-01 10:25:00;2024-03-01 12:36:00;549;132;3,3
115;Challenge;2024-03-01 12:09:00;2024-03-01 18:47:00;19,416;2024-03-01 12:09:00;2024-03-01 15:05:00;399;177;7,1
116;Challenge;2024-03-01 08:25:00;2024-03-01 16:30:00;13,109;2024-03-01 08:25:00;2024-03-01 15:37:00;485;432;3,5
117;Challenge;2024-03-01 07:04:00;2024-03-01 14:55:00;24,602;2024-03-01 10:59:00;2024-03-01 14:48:00;472;229;7,2
118;Challenge;2024-03-01 08:50:00;2024-03-01 13:29:00;25,695;2024-03-01 08:50:00;2024-03-01 13:29:00;280;280;6,8
119;Challenge;2024-03-01 09:56:00;2024-03-01 13:18:00;19,459;2024-03-01 09:56:00;2024-03-01 13:00:00;202;184;7
120;Challenge;2024-02-29 21:50:00;2024-03-01 07:55:00;19,186;2024-02-29 21:50:00;2024-03-01 04:31:00;605;402;3,6
121;Challenge;2024-02-29 12:28:00;2024-02-29 17:13:00;3,772;2024-02-29 12:28:00;2024-02-29 14:58:00;286;151;1,6
122;Challenge;2024-02-29 08:34:00;2024-02-29 17:13:00;7,798;2024-02-29 08:34:00;2024-02-29 11:51:00;519;198;2,5
123;Challenge;2024-02-29 14:31:00;2024-02-29 17:01:00;17,23;2024-02-29 14:31:00;2024-02-29 17:01:00;151;151;7,2
124;Challenge;2024-02-29 10:06:00;2024-02-29 16:58:00;44,42;2024-02-29 10:56:00;2024-02-29 16:58:00;413;363;7,6
125;Challenge;2024-02-29 06:27:00;2024-02-29 16:38:00;12,873;2024-02-29 06:27:00;2024-02-29 08:47:00;611;141;7,4
126;Challenge;2024-02-29 08:57:00;2024-02-29 14:20:00;12,77;2024-02-29 08:57:00;2024-02-29 12:56:00;323;239;3,5
127;Challenge;2024-02-29 09:45:00;2024-02-29 13:40:00;29,286;2024-02-29 09:45:00;2024-02-29 13:40:00;235;235;7,7
128;Challenge;2024-02-29 11:14:00;2024-02-29 13:10:00;5,48;2024-02-29 11:14:00;2024-02-29 13:10:00;117;117;3,5
129;Challenge;2024-02-28 08:04:00;2024-02-28 19:59:00;30,484;2024-02-28 10:59:00;2024-02-28 19:59:00;716;541;7,2
130;Challenge;2024-02-27 07:16:00;2024-02-28 18:11:00;56,013;2024-02-27 07:16:00;2024-02-27 15:26:00;2096;490;7
131;Challenge;2024-02-28 13:16:00;2024-02-28 17:41:00;28,949;2024-02-28 13:16:00;2024-02-28 17:41:00;266;265;6,8
132;Challenge;2024-02-28 07:14:00;2024-02-28 16:59:00;31,183;2024-02-28 07:14:00;2024-02-28 15:57:00;585;523;7,5
133;Challenge;2024-02-28 11:21:00;2024-02-28 16:11:00;4,416;2024-02-28 11:21:00;2024-02-28 14:16:00;291;176;1,6
134;Challenge;2024-02-28 13:15:00;2024-02-28 13:21:00;0,061;2024-02-28 13:20:00;2024-02-28 13:21:00;7;1;6,9
135;Challenge;2024-02-28 12:07:00;2024-02-28 13:13:00;7,685;2024-02-28 12:07:00;2024-02-28 13:12:00;66;65;7,2
136;Challenge;2024-02-28 11:26:00;2024-02-28 12:52:00;4,869;2024-02-28 11:26:00;2024-02-28 12:52:00;86;86;3,5
137;Challenge;2024-02-28 09:02:00;2024-02-28 12:44:00;7,453;2024-02-28 09:02:00;2024-02-28 12:10:00;223;189;2,5
138;Challenge;2024-02-28 09:01:00;2024-02-28 12:11:00;12,474;2024-02-28 09:01:00;2024-02-28 10:49:00;190;108;7,7
139;Challenge;2024-02-27 11:44:00;2024-02-27 19:24:00;6,248;2024-02-27 11:44:00;2024-02-27 14:08:00;461;145;3,3
140;Challenge;2024-02-27 11:54:00;2024-02-27 17:54:00;12,392;2024-02-27 11:54:00;2024-02-27 14:19:00;360;145;6,9
141;Challenge;2024-02-27 13:50:00;2024-02-27 17:16:00;11,291;2024-02-27 13:50:00;2024-02-27 17:16:00;206;206;3,4
142;Challenge;2024-02-27 08:44:00;2024-02-27 16:46:00;24,048;2024-02-27 10:59:00;2024-02-27 14:47:00;483;228;7,2
143;Challenge;2024-02-26 20:34:00;2024-02-27 07:30:00;37,228;2024-02-26 22:00:00;2024-02-27 03:16:00;656;317;7,3
144;Challenge;2024-02-26 16:46:00;2024-02-26 20:51:00;6,999;2024-02-26 16:46:00;2024-02-26 18:50:00;246;124;3,4
145;Challenge;2024-02-26 12:55:00;2024-02-26 18:42:00;18,152;2024-02-26 12:55:00;2024-02-26 15:43:00;348;169;7,2
146;Challenge;2024-02-26 11:57:00;2024-02-26 18:08:00;20,344;2024-02-26 11:57:00;2024-02-26 15:00:00;372;183;7,2
147;Challenge;2024-02-26 13:11:00;2024-02-26 17:55:00;34,954;2024-02-26 13:11:00;2024-02-26 17:55:00;284;284;7,5
148;Challenge;2024-02-26 14:17:00;2024-02-26 17:26:00;20,597;2024-02-26 14:18:00;2024-02-26 17:26:00;189;189;6,6
149;Challenge;2024-02-26 12:04:00;2024-02-26 17:15:00;36,458;2024-02-26 12:04:00;2024-02-26 17:15:00;312;312;7,4
150;Challenge;2024-02-26 08:45:00;2024-02-26 16:42:00;13,572;2024-02-26 08:45:00;2024-02-26 16:05:00;477;440;3,5
151;Challenge;2024-02-26 07:00:00;2024-02-26 16:13:00;24,983;2024-02-26 11:00:00;2024-02-26 14:51:00;554;231;7,2
152;Challenge;2024-02-26 09:20:00;2024-02-26 13:55:00;28,783;2024-02-26 09:20:00;2024-02-26 13:12:00;276;233;7,6
153;Challenge;2024-02-24 07:15:00;2024-02-24 17:03:00;67,672;2024-02-24 07:15:00;2024-02-24 17:03:00;588;588;7,1
154;Challenge;2024-02-23 13:44:00;2024-02-23 16:31:00;19,209;2024-02-23 13:44:00;2024-02-23 16:31:00;168;167;7,1
155;Challenge;2024-02-23 13:05:00;2024-02-23 15:42:00;3,217;2024-02-23 13:05:00;2024-02-23 15:15:00;158;131;1,6
156;Challenge;2024-02-23 06:22:00;2024-02-23 15:10:00;6,921;2024-02-23 06:22:00;2024-02-23 07:53:00;529;92;7,2
157;Challenge;2024-02-23 08:37:00;2024-02-23 12:21:00;25,95;2024-02-23 08:37:00;2024-02-23 12:21:00;225;225;7,2
158;Challenge;2024-02-23 08:23:00;2024-02-23 11:58:00;16,016;2024-02-23 08:23:00;2024-02-23 11:00:00;215;158;7,1
159;Challenge;2024-02-22 08:22:00;2024-02-22 19:33:00;32,064;2024-02-22 08:22:00;2024-02-22 13:41:00;672;320;6,9
160;Challenge;2024-02-22 08:03:00;2024-02-22 17:32:00;25,586;2024-02-22 08:03:00;2024-02-22 16:04:00;569;482;7,5
161;Challenge;2024-02-22 11:47:00;2024-02-22 17:12:00;4,133;2024-02-22 11:47:00;2024-02-22 14:32:00;326;166;1,6
162;Challenge;2024-02-22 08:09:00;2024-02-22 16:17:00;22,662;2024-02-22 11:00:00;2024-02-22 14:29:00;488;210;7,2
163;Challenge;2024-02-21 12:05:00;2024-02-21 18:20:00;8,616;2024-02-21 12:05:00;2024-02-21 13:34:00;376;90;6,9
164;Challenge;2024-02-21 08:40:00;2024-02-21 17:06:00;31,348;2024-02-21 08:40:00;2024-02-21 13:16:00;506;276;7,1
165;Challenge;2024-02-21 08:47:00;2024-02-21 12:05:00;24,866;2024-02-21 08:47:00;2024-02-21 12:05:00;199;198;7,6
166;Challenge;2024-02-20 11:22:00;2024-02-20 17:19:00;7,746;2024-02-20 11:22:00;2024-02-20 14:38:00;357;196;2,5
167;Challenge;2024-02-20 11:14:00;2024-02-20 17:11:00;3,667;2024-02-20 11:14:00;2024-02-20 13:39:00;357;146;1,6
168;Challenge;2024-02-20 14:11:00;2024-02-20 16:52:00;12,904;2024-02-20 14:11:00;2024-02-20 16:08:00;161;117;6,9
169;Challenge;2024-02-20 08:34:00;2024-02-20 13:37:00;22,333;2024-02-20 08:34:00;2024-02-20 12:35:00;304;242;6,6
170;Challenge;2024-02-20 12:04:00;2024-02-20 13:32:00;9,937;2024-02-20 12:04:00;2024-02-20 13:32:00;89;89;6,9
171;Challenge;2024-02-19 08:11:00;2024-02-19 20:39:00;36,209;2024-02-19 11:00:00;2024-02-19 16:26:00;749;326;7,2
172;Challenge;2024-02-19 12:55:00;2024-02-19 18:36:00;22,394;2024-02-19 12:55:00;2024-02-19 16:13:00;342;199;7,2
173;Challenge;2024-02-19 08:06:00;2024-02-19 16:16:00;22,849;2024-02-19 11:01:00;2024-02-19 14:32:00;490;212;7,2
174;Challenge;2024-02-19 08:38:00;2024-02-19 11:27:00;18,41;2024-02-19 08:38:00;2024-02-19 11:26:00;169;169;6,8
175;Challenge;2024-02-19 06:19:00;2024-02-19 11:19:00;14,761;2024-02-19 06:19:00;2024-02-19 08:54:00;301;155;7,2
176;Challenge;2024-02-18 17:38:00;2024-02-19 07:28:00;43,765;2024-02-18 22:01:00;2024-02-19 04:13:00;831;372;7,3
177;Challenge;2024-02-18 07:00:00;2024-02-18 16:24:00;6,897;2024-02-18 07:00:00;2024-02-18 08:00:00;565;61;6,9
178;Challenge;2024-02-16 22:10:00;2024-02-17 16:49:00;19,627;2024-02-16 22:10:00;2024-02-17 04:57:00;1120;407;3,5
179;Challenge;2024-02-17 08:56:00;2024-02-17 12:48:00;4,021;2024-02-17 08:56:00;2024-02-17 11:36:00;233;161;1,6
180;Challenge;2024-02-16 07:23:00;2024-02-16 19:17:00;37,103;2024-02-16 10:58:00;2024-02-16 19:17:00;714;499;7,2
181;Challenge;2024-02-16 09:46:00;2024-02-16 18:49:00;34,696;2024-02-16 11:10:00;2024-02-16 17:16:00;543;367;6,8
182;Challenge;2024-02-16 15:59:00;2024-02-16 17:35:00;11,641;2024-02-16 15:59:00;2024-02-16 17:35:00;97;97;7,3
183;Challenge;2024-02-16 08:01:00;2024-02-16 16:04:00;23,359;2024-02-16 11:01:00;2024-02-16 14:36:00;483;216;7,2
184;Challenge;2024-02-16 06:17:00;2024-02-16 14:40:00;7,211;2024-02-16 06:17:00;2024-02-16 07:44:00;504;87;7,2
185;Challenge;2024-02-16 08:51:00;2024-02-16 13:18:00;15,107;2024-02-16 08:55:00;2024-02-16 12:05:00;268;190;6,6
186;Challenge;2024-02-16 08:13:00;2024-02-16 12:12:00;8,999;2024-02-16 08:13:00;2024-02-16 11:05:00;239;173;3,5
187;Challenge;2024-02-15 08:18:00;2024-02-15 12:06:00;12,5;2024-02-15 08:18:00;2024-02-15 12:06:00;228;228;3,6
188;Challenge;2024-02-14 22:10:00;2024-02-15 07:52:00;20,48;2024-02-14 22:10:00;2024-02-15 04:51:00;583;402;3,5
189;Challenge;2024-02-14 10:51:00;2024-02-14 18:20:00;52,748;2024-02-14 10:51:00;2024-02-14 18:02:00;450;432;7,5
190;Challenge;2024-02-14 11:26:00;2024-02-14 18:05:00;13,482;2024-02-14 11:26:00;2024-02-14 13:38:00;399;132;7,2
191;Challenge;2024-02-14 12:55:00;2024-02-14 17:11:00;4,537;2024-02-14 12:55:00;2024-02-14 15:55:00;256;181;1,6
192;Challenge;2024-02-12 20:11:00;2024-02-13 07:35:00;38,155;2024-02-12 22:00:00;2024-02-13 03:24:00;684;325;7,3
193;Challenge;2024-02-12 11:37:00;2024-02-12 18:23:00;6,34;2024-02-12 11:37:00;2024-02-12 13:46:00;406;130;3,4
194;Challenge;2024-02-12 09:55:00;2024-02-12 17:41:00;20,475;2024-02-12 11:00:00;2024-02-12 14:12:00;467;193;7,2
195;Challenge;2024-02-12 13:47:00;2024-02-12 17:38:00;24,457;2024-02-12 13:47:00;2024-02-12 17:37:00;231;231;6,8
